,order_id,Tip
0,1187899,T
1,1492625,T
2,2196797,T
3,525192,T
4,880375,F
5,1094988,F
6,1822501,F
7,1827621,T
8,2316178,T
9,2180313,T
10,2461523,F
11,1854765,F
12,3402036,F
13,965160,F
14,2614670,F
15,3110252,T
16,62370,T
17,698604,F
18,1524161,T
19,3173750,F
20,2032076,F
21,2803975,F
22,1864787,F
23,2436259,T
24,1947848,T
25,2906490,F
26,2924697,F
27,519514,F
28,1750084,F
29,1647290,T
30,3088145,F
31,39325,F
32,13318,T
33,1651215,T
34,1019719,F
35,2989905,F
36,2639013,F
37,1072954,F
38,34647,F
39,2757217,F
40,669729,F
41,3038639,F
42,2608424,F
43,482516,F
44,3294399,F
45,1700658,F
46,21708,F
47,2178718,T
48,1734166,F
49,859654,T
50,2424438,F
51,2276967,F
52,613340,T
53,1855447,F
54,3081445,F
55,2222431,T
56,1318796,T
57,637547,T
58,1179185,F
59,1227088,F
60,531345,F
61,3178964,F
62,1289863,F
63,2591641,F
64,926418,F
65,2364180,F
66,2298088,F
67,2549875,T
68,515014,F
69,1997693,T
70,72069,T
71,3105153,T
72,3032922,T
73,1645824,F
74,2759030,T
75,2618023,F
76,878518,T
77,1438423,F
78,1248129,T
79,461193,F
80,961032,F
81,2652217,F
82,1721370,F
83,2733614,T
84,1543042,T
85,1095948,T
86,2437480,F
87,2106151,F
88,2887138,T
89,3001617,F
90,455775,F
91,2233425,F
92,2560500,T
93,2696946,F
94,1993128,T
95,242208,T
96,3395341,T
97,673776,T
98,318441,T
99,3348216,T
100,1575396,F
101,1897207,T
102,3294802,T
103,2133144,F
104,3123006,F
105,2564128,T
106,2608262,F
107,2742787,F
108,767489,T
109,1500681,F
110,2060922,F
111,537105,F
112,1505214,F
113,2433199,F
114,3412247,F
115,1464402,F
116,1007973,F
117,3362166,F
118,2887658,F
119,475324,F
120,2715293,F
121,1308123,T
122,3155162,T
123,1962299,F
124,1458129,T
125,739987,T
126,3048264,F
127,2066158,T
128,2780124,F
129,2897229,F
130,1447810,F
131,2177938,F
132,307237,F
133,1706500,F
134,1826981,T
135,3176785,T
136,2708761,T
137,3084045,T
138,2477435,T
139,3053806,T
140,75622,F
141,1131395,F
142,1841249,T
143,1902701,T
144,1848434,F
145,1789152,F
146,180627,T
147,2041929,F
148,2615515,T
149,568023,F
150,382581,F
151,2499603,F
152,1179928,F
153,1016866,F
154,2941534,F
155,688931,T
156,2193979,F
157,2698993,F
158,2624849,F
159,142062,T
160,524863,F
161,2298194,F
162,2727415,T
163,2008056,T
164,961500,F
165,1056167,T
166,1976038,F
167,3227316,F
168,1162736,F
169,1905437,T
170,2383385,F
171,1665716,T
172,676206,F
173,985905,F
174,2662084,F
175,2014989,T
176,3411419,F
177,3059590,T
178,445784,F
179,145016,F
180,3261724,F
181,78426,F
182,3529,T
183,1184332,F
184,1473392,T
185,1374681,F
186,2692535,T
187,1911431,F
188,405264,T
189,208213,F
190,1979266,F
191,1546561,F
192,540284,T
193,1940141,F
194,1957838,F
195,2600069,F
196,988,F
197,2956359,F
198,877974,F
199,3072356,T
200,1640076,T
201,1054904,T
202,1684761,T
203,3012300,T
204,1215744,F
205,39637,F
206,2560537,F
207,1331374,T
208,3174585,T
209,1606411,F
210,2147369,F
211,1751465,T
212,3077453,F
213,1430705,T
214,281630,F
215,107908,F
216,1841063,F
217,1652713,F
218,980530,F
219,563865,F
220,959285,F
221,1989223,T
222,2898937,T
223,2143540,T
224,3081810,F
225,2376514,F
226,394279,F
227,2908855,F
228,15694,F
229,607923,T
230,2942881,T
231,461187,F
232,174574,F
233,1682739,F
234,1412429,F
235,811612,F
236,960774,F
237,1558843,F
238,2721521,F
239,2294073,F
240,2385890,F
241,14172,F
242,3206948,F
243,2057992,F
244,280751,F
245,1910258,F
246,2294856,F
247,2328904,T
248,36665,F
249,3163411,F
250,445900,F
251,2950974,F
252,2534943,F
253,3014378,F
254,3159731,T
255,592291,F
256,1732187,F
257,1392440,T
258,2050098,F
259,1048290,F
260,1363964,F
261,2070379,F
262,1560176,F
263,1449813,T
264,437145,F
265,1902284,F
266,1643238,F
267,1899614,F
268,2608193,F
269,539212,F
270,488785,T
271,3194530,F
272,484245,F
273,1101383,T
274,2236871,T
275,2029736,F
276,1454689,F
277,2623337,F
278,113754,T
279,1848722,F
280,1110720,T
281,3244965,F
282,1439514,F
283,1881413,F
284,2769206,T
285,2908601,T
286,2212127,T
287,683205,T
288,362051,T
289,3293782,T
290,2046585,F
291,2455208,F
292,2000464,T
293,417305,F
294,2010297,F
295,1739738,F
296,1714467,T
297,461914,F
298,3054083,F
299,638714,F
300,1944317,T
301,1039817,T
302,1528819,T
303,659655,F
304,1439424,F
305,3101204,F
306,1290287,T
307,2479559,F
308,29983,F
309,149666,F
310,1191993,F
311,1108486,T
312,3126335,T
313,1614375,T
314,863691,F
315,188500,F
316,3395420,F
317,709201,F
318,54762,F
319,395479,F
320,2692766,F
321,797018,F
322,707985,T
323,2298416,F
324,1011563,F
325,3241378,F
326,2831272,T
327,672357,F
328,1949670,F
329,2101076,T
330,1302095,F
331,2542317,F
332,2588977,F
333,2346527,T
334,2569637,F
335,497783,T
336,229361,T
337,2337367,T
338,3363870,F
339,1409734,F
340,17906,T
341,1379536,F
342,3276697,F
343,3004135,F
344,2724968,F
345,1043105,F
346,1726118,F
347,2063685,F
348,1229133,F
349,1340939,F
350,1074772,T
351,1291650,T
352,1608919,F
353,1820107,F
354,1445911,F
355,2405239,F
356,451330,F
357,1527883,F
358,2019153,T
359,3235100,T
360,3125190,T
361,3065466,F
362,2101825,F
363,3357236,F
364,241538,T
365,2178585,F
366,3158741,F
367,2379791,F
368,271797,F
369,1609767,F
370,1144354,T
371,1232929,F
372,1241717,F
373,2127621,T
374,1044486,F
375,2576004,F
376,2244404,F
377,29486,F
378,3054234,F
379,2150770,T
380,530341,F
381,2918511,F
382,2713339,F
383,3263278,F
384,1816326,F
385,1859940,T
386,102931,T
387,2372949,F
388,1220744,F
389,205105,T
390,3733,F
391,2857725,F
392,339577,F
393,531078,F
394,1882095,F
395,3293848,F
396,2830734,T
397,2558969,F
398,437954,T
399,192822,T
400,2413078,F
401,416736,F
402,2725594,F
403,821898,F
404,1017699,F
405,1933130,T
406,415087,F
407,3298943,F
408,1866656,F
409,1974079,F
410,151039,F
411,2125060,F
412,2081127,T
413,2342041,F
414,428232,F
415,1224638,T
416,1549043,F
417,78051,T
418,2316417,T
419,1408873,F
420,2901230,F
421,812040,F
422,1035261,F
423,3267146,F
424,219986,F
425,1600279,F
426,2376860,F
427,632715,F
428,1735653,F
429,1405257,F
430,783434,F
431,1696391,T
432,143284,F
433,2810951,T
434,1204921,F
435,3327840,T
436,1379024,F
437,1842223,F
438,2524486,F
439,1063245,F
440,2643096,T
441,2451495,F
442,2154325,T
443,3002915,F
444,261370,F
445,2127707,F
446,959637,F
447,1191841,F
448,1202012,F
449,1307498,T
450,1054283,T
451,2357159,F
452,219467,F
453,398828,F
454,1985172,F
455,1122780,F
456,67479,T
457,944659,F
458,921692,F
459,3107150,T
460,2059831,F
461,1368829,T
462,3096583,F
463,251996,F
464,3264066,F
465,1504712,F
466,2793933,F
467,1738759,T
468,1550154,F
469,1387253,F
470,1378817,T
471,1166135,F
472,275130,T
473,1436723,T
474,223389,F
475,60905,T
476,1403740,F
477,553676,F
478,2726080,F
479,3205651,F
480,63770,F
481,565931,F
482,3197269,T
483,2919312,T
484,64766,T
485,14287,F
486,2877517,F
487,1167274,F
488,440384,F
489,2914876,F
490,1556053,F
491,2667408,T
492,2112754,T
493,2871469,F
494,49291,F
495,3116656,F
496,2248477,F
497,2110387,T
498,2354554,F
499,1971243,T
500,888267,F
